company_name,company_rating,industry,size,type,years_old,location
SMC,3.9,Medical Equipment,201-500 Employees,Forbes Global 2000,36,Ahmedabad
Magna International,4.0,Auto Components,501-1k Employees,Public,67,Ahmedabad
GMM Pfaudler,4.0,Industrial Machinery,501-1k Employees,Public,62,Ahmedabad
Laxcon Steels,3.5,Metals & Mining,501-1k Employees,Public,46,Ahmedabad
Tractors and Farm Equipment,4.1,Industrial Machinery,10k-50k Employees,Public,64,Ahmedabad
Online PSB Loans,3.8,Internet,11-50 Employees,Startup,6,Ahmedabad
TGB Banquets and Hotels,4.2,Hospitality,201-500 Employees,Public,35,Ahmedabad
Godrej Properties,3.7,Real Estate,1k-5k Employees,Public,34,Ahmedabad
KONE,4.3,Industrial Machinery,5k-10k Employees,Forbes Global 2000,114,Ahmedabad
Unicharm,4.2,Beauty & Personal Care,1k-5k Employees,Forbes Global 2000,63,Ahmedabad
Hyundai Motor India Limited,4.4,Automobile,10k-50k Employees,Fortune India 500,57,Ahmedabad
Hitachi,4.1,Industrial Machinery,10k-50k Employees,Forbes Global 2000,114,Ahmedabad
Kraft Heinz Company,4.2,Food Processing,501-1k Employees,Forbes Global 2000,30,Ahmedabad
Johnson Controls,3.7,Industrial Automation,5k-10k Employees,Public,139,Ahmedabad
Mankind Pharma,4.1,Pharma,10k-50k Employees,Fortune India 500,29,Ahmedabad
Edelweiss,3.8,Financial Services,1k-5k Employees,Public,7,Ahmedabad
Alkem Laboratories,4.0,Pharma,10k-50k Employees,Public,51,Ahmedabad
Lupin,4.1,Pharma,1k-5k Employees,Public,56,Ahmedabad
Daikin,4.2,Consumer Electronics & Appliances,1k-5k Employees,Fortune India 500,24,Ahmedabad
ShopKirana,3.8,Software Product,501-1k Employees,Startup,10,Ahmedabad
NoBroker,3.2,Internet,1k-5k Employees,Indian Unicorn,10,Ahmedabad
Marriott International,4.3,Hospitality,10k-50k Employees,Forbes Global 2000,97,Ahmedabad
Patels Airtemp (India),4.4,Industrial Machinery,501-1k Employees,Public,51,Ahmedabad
Gokul Agro Resources,3.7,FMCG,1k-5k Employees,Public,10,Ahmedabad
DealShare,3.5,Internet,1k-5k Employees,Indian Unicorn,6,Ahmedabad
Siemens,4.2,Industrial Automation,5k-10k Employees,Public,177,Ahmedabad
Ericsson,4.3,Telecom,10k-50k Employees,Forbes Global 2000,148,Ahmedabad
